X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
32,1.55,3.36,193.6613812,2218.65,15.28,0.84,0.49,3,1016.65,100,58.5,65,49.722,29.3,0.69,40,46.4,-0.67,12.09333333,C
26,0.84,4.78,172.8907292,2223.06,22.05,1.03,1.81,3,1009.06,102,46.87,93.74,49.73,30.5,1.22,59.92,70.12,-0.17,16.35,A
40,1.34,2.55,186.9377966,2154.37,18.63,1.22,0.33,2,1011.37,97,7.172,71.72,50.1474,21.7,0.81,48.92,61.22,0.13,14.21,A
27,1.09,4.43,188.2690853,2284.57,15,1.1,1.98,3,1015.57,107,32.41,64.82,50.0006,31.1,1.28,41.17,51.07,0,13,B
26,0.66,5.01,176.3980921,2470.42,20.46,1.44,5.77,4,1018.42,102,128.835,85.89,50.1792,34.3,1.79,59.21,69.51,0.01,17.82,A
31,1.6,3.73,189.6588191,2229.84,11.97,1.06,0.9,3,1016.84,100,32.588,81.47,50.1841,30,0.95,45.51,52.41,-0.27,11.99,A
37,1.75,2.95,180.3885415,2094.97,26.59,0.89,0.43,3,1009.97,92,35.045,70.09,49.8599,26,1.04,59.92,70.92,-0.07,18.86333333,A
24,0.94,4.94,190.4861401,2421.77,13.76,0.66,2.6,4,1023.77,98,217.296,80.48,50.2106,35.8,1.16,45.08,55.28,-0.07,15.58666667,A
28,1.06,3.85,179.3597077,2152.27,21.41,1.1,1.04,2,1010.27,96,81.994,74.54,50.1983,27.5,0.96,59.43,77.83,0.55,19.13666667,A
35,2.48,2.75,202.9904586,2051.03,12.45,1.15,0.38,2,1008.03,94,12.374,61.87,50.0742,22.4,0.72,37.92,46.42,-0.07,12.15,A
28,1.37,4.33,186.3472003,2217.65,10.62,1.04,1.15,3,1010.65,105,43.505,62.15,50.1892,32.8,1.19,39.64,48.74,-0.13,13.54,B
34,1.3,3.09,194.0023593,2175.46,12.33,0.97,0.41,2,1022.46,94,35.58,59.3,50.1721,25.2,0.99,37.73,62.23,0.81,16.11,A
32,1.27,3.59,185.4988573,2228.38,15.63,1,0.86,4,1009.38,100,33.12,82.8,50.0795,31.2,1.11,44.9,55.8,0.22,15.21,A
36,1.79,3.48,185.0902396,2171.88,19.11,0.95,0.67,3,1010.88,100,30.027,100.09,50.0044,30.3,1.08,50.16,62.86,0.02,15.37,A
27,1.27,4.41,190.7111163,2273.91,21.83,1.09,1.47,3,1001.91,102,66.864,41.79,50.348,33.5,1.32,41.1,55.6,0.34,19.27666667,C
