"","V1","V2","V3","V4","V5","V6","V7"
"1",1,0,5.77369175361978e-05,NA,NA,NA,NA
"2",1,0.001,4.1903005302786e-05,NA,NA,NA,NA
"3",1,0.01,4.24278863712968e-05,NA,NA,NA,NA
"4",1,0.1,4.76766970564057e-05,NA,NA,NA,NA
"5",1,1,7.54953936874828e-05,NA,NA,NA,NA
"6",2,0,7.87321602766333e-06,NA,NA,NA,NA
"7",2,0.001,8.83549798659996e-06,NA,NA,NA,NA
"8",2,0.01,6.56101335638611e-06,NA,NA,NA,NA
"9",2,0.1,1.36469077812831e-05,NA,NA,NA,NA
"10",2,1,2.33572075487345e-05,NA,NA,NA,NA
"11",3,0,6.9109340687267e-06,NA,NA,NA,NA
"12",3,0.001,0,NA,NA,NA,NA
"13",3,0.01,0,NA,NA,NA,NA
"14",3,0.1,7.87321602766333e-07,NA,NA,NA,NA
"15",3,1,1.55714716991564e-05,NA,NA,NA,NA
