"","V1","V2","V3","V4","V5","V6","V7"
"1",1,0,10.8974358974359,7.26666666666667,2.41666666666667,3.07462686567164,3.3695652173913
"2",1,0.001,3.48717948717949,9.48888888888889,3.54761904761905,3.11940298507463,2.93478260869565
"3",1,0.01,3.12820512820513,2.94444444444444,2.73809523809524,3.25373134328358,2.16304347826087
"4",1,0.1,3.29487179487179,3.12222222222222,3.86904761904762,3.73134328358209,2.3804347826087
"5",1,1,3.37179487179487,3.1,3.44047619047619,4.16417910447761,3.57608695652174
"6",2,0,10.8974358974359,9.48888888888889,2.47619047619048,3.53731343283582,2.21739130434783
"7",2,0.001,1.83333333333333,2.04444444444444,1.88095238095238,2.05970149253731,1.93478260869565
"8",2,0.01,2.14102564102564,2.07777777777778,1.64285714285714,2.32835820895522,1.68478260869565
"9",2,0.1,1.46153846153846,1.42222222222222,1.6547619047619,1.86567164179104,1.31521739130435
"10",2,1,1.41025641025641,1.38888888888889,1.17857142857143,1.73134328358209,1.28260869565217
"11",3,0,2.14102564102564,9.48888888888889,2.39285714285714,1.8955223880597,2.09782608695652
"12",3,0.001,2.02564102564103,2.04444444444444,1.8452380952381,2.28358208955224,2.34782608695652
"13",3,0.01,2.06410256410256,1.5,1.85714285714286,2.01492537313433,1.64130434782609
"14",3,0.1,1.62820512820513,1.57777777777778,1.5952380952381,1.70149253731343,1.33695652173913
"15",3,1,1,1,1,1,1
